#### EXPORT DONNEES METEO POUR "PARIS" (LAT/LON: 48.856614/2.3522219)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2019-12-20,13,9,29,13,12,10,17,76,9,994,72.25,13,10,8,296,299,119,0,1,3.1,météo très défavorable
2019-12-21,10,5,26,8,9,9,3.5,83,9.75,992,85.875,10,5,5,122,119,176,0,1,3.1,météo très défavorable
2019-12-22,10,8,31,10,10,9,6,68,9.625,999,90,10,7,6,176,296,353,0,1,3.1,météo défavorable
2019-12-23,10,8,24,9,10,9,0.2,74,10,1018,79.875,10,5,6,176,176,122,0,1,3.1,météo défavorable
2019-12-24,12,8,22,11,12,11,5.1,87,9.375,1017,82.375,12,10,9,296,176,116,0,1,4.9,météo défavorable
2019-12-25,11,7,11,10,10,10,0.6,78,10,1026,60.625,11,6,8,176,176,116,0,1,4.9,météo défavorable
2019-12-26,9,5,14,5,7,9,0.2,83,9.375,1025,70,9,7,3,116,116,122,0,1,3.1,météo très défavorable
2019-12-27,11,8,15,10,9,10,12.6,88,8,1033,71,11,9,6,302,122,116,0,1,5,météo défavorable
2019-12-28,8,4,9,6,7,6,0,90,9,1038,25.875,8,7,4,116,116,116,0,1,8.6,météo très défavorable
2019-12-29,7,3,6,4,5,6,0,71,10,1037,10,7,0,1,116,116,116,0,1,8.6,météo très défavorable
2019-12-30,11,4,6,4,8,8,0,51,10,1035,6.5,11,0,3,116,116,116,0,1,8.6,météo très défavorable
2019-12-31,8,4,6,6,7,7,0,65,10,1033,6.125,8,2,4,113,116,116,0,1,8.6,météo très défavorable
